# DJ4E Whisper substitutions
# Format: incorrect<TAB>correct
# Ordered most specific (longest) to least specific so shorter rules
# do not clobber longer phrases (cleanup also sorts longest-first).
# This list is intentionally conservative: each entry was seen in the supplied transcripts
# and has a clear course-specific correction.

www.djfree.com	www.dj4e.com
djfree.pythonanywhere.com   dj4e.pythonanywhere.com
DJFree samples	DJ4E Samples
djfree samples	dj4e-samples
djfree-samples	dj4e-samples
myarts article	myarts.Article
MyArts article	myarts.Article
Django_session	django_session
DJFreeSamples	DJ4E Samples
DJFreesamples	DJ4E Samples
MyArts owner	myarts.owner
myarts.owner	myarts.owner
lit element	LitElement
LoginMixin	LoginRequiredMixin
Javascript	JavaScript
Postgres	PostgreSQL
ManagePy	manage.py
URLs.py	urls.py
URLsPY	urls.py
DJFree	DJ4E
Github	GitHub
github	GitHub
Jquery	jQuery
Sqlite	SQLite
MyArts	myarts
Nginx	nginx
djfree  DJ4E
DJFree  DJ4E

# Review-before-enabling candidates (context-dependent)
# my dot dot slash MyArts owner	../myarts/owner.py
# many manage.py shell	python manage.py shell
# created an updated app	created_at and updated_at
